Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Extra Vade(4pc)","Extra Vade(4pc)",,EVP,,,,,Extra,Extra,200,veg,,5,F,,,0,,,1,0,Yes
"Extra Rice Rotti","Extra Rice Rotti",,ERR,,,,,Extra,Extra,120,veg,,5,F,,,0,,,1,0,Yes
"Dal Fry","Dal Fry",,DF,,,,,"Veg Main Course","Veg Main Course",160,veg,,5,F,,,0,,,1,0,Yes
"Dal Tadka","Dal Tadka",,DT,,,,,"Veg Main Course","Veg Main Course",200,veg,,5,F,,,0,,,1,0,Yes
"Mix Veg","Mix Veg",,MIV,,,,,"Veg Main Course","Veg Main Course",250,veg,,5,F,,,0,,,1,0,Yes
"Chicken Singapore Rice","Chicken Singapore Rice",,"chicken singapore ri",,,,,"Non Veg Chinese Starters","Non Veg Chinese Starters",310,non-veg,,5,F,,,0,,,1,0,Yes
"Veg Handi","Veg Handi",,VH,,,,,"Veg Main Course","Veg Main Course",250,veg,,5,F,,,0,,,1,0,Yes
"Paneer Bhurji","Paneer Bhurji",,PBH,,,,,"Veg Main Course","Veg Main Course",250,veg,,5,F,,,0,,,1,0,Yes
"Paneer Mushroom Masala","Paneer Mushroom Masala",,PMM,,,,,"Veg Main Course","Veg Main Course",260,veg,,5,F,,,0,,,1,0,Yes
"Paneer Masala","Paneer Masala",,PAM,,,,,"Veg Main Course","Veg Main Course",250,veg,,5,F,,,0,,,1,0,Yes
"Prawns Butter Garlic","Prawns Butter Garlic",,per,,,,,"Non Veg Chinese Starters","Non Veg Chinese Starters",450,non-veg,services,5,F,,,0,,,1,0,Yes
"Chana Masala","Chana Masala",,CHM,,,,,"Veg Main Course","Veg Main Course",200,veg,,5,F,,,0,,,1,0,Yes
"Paneer Satey","Paneer Satey",,"paneer satey",,,,,"Veg Chinese Starters","Veg Chinese Starters",290,veg,services,5,F,,,0,,,1,0,Yes
"Mushroom Masala","Mushroom Masala",,MUM,,,,,"Veg Main Course","Veg Main Course",250,veg,,5,F,,,0,,,1,0,Yes
"Veg Biryani","Veg Biryani",,VB,,,,,"Rice Dishes","Rice Dishes",250,veg,,5,F,,,0,,,1,0,Yes
"Veg Pulav","Veg Pulav",,VP,,,,,"Rice Dishes","Rice Dishes",250,veg,,5,F,,,0,,,1,0,Yes
"Paneer Pulav","Paneer Pulav",,PAP,,,,,"Rice Dishes","Rice Dishes",260,veg,,5,F,,,0,,,1,0,Yes
"Mushroom Pulav","Mushroom Pulav",,MUP,,,,,"Rice Dishes","Rice Dishes",260,veg,,5,F,,,0,,,1,0,Yes
"Jeera Rice","Jeera Rice",,JIR,,,,,"Rice Dishes","Rice Dishes",170,veg,,5,F,,,0,,,1,0,Yes
"Egg Biryani","Egg Biryani",,EB,,,,,"Rice Dishes","Rice Dishes",320,egg,,5,F,,,0,,,1,0,Yes
"Chicken Dal Khichdi","Chicken Dal Khichdi",,CDK,,,,,"Rice Dishes","Rice Dishes",300,non-veg,,5,F,,,0,,,1,0,Yes
